Country,Number of universities with rank 100 or above
Argentina,1
Australia,7
Belgium,1
Canada,3
China,6
Denmark,1
France,3
Germany,3
Hong Kong,5
Japan,5
Malaysia,1
Netherlands,2
New Zealand,1
Russia,1
Singapore,2
South Korea,5
Sweden,2
Switzerland,3
Taiwan,1
United Kingdom,18
United States of America,29
