Rank in 2020,Institution Name,Country,Overall Score
152,Indian Institute of Technology Bombay (IITB),India,49.4
153,University of Lausanne,Switzerland,49.2
154,Cardiff University,United Kingdom,49
154,Universit‰t Wien,Austria,49
156,Emory University,United States,48.6
156,University of Minnesota,United States,48.6
158,TecnolÛgico de Monterrey (ITESM),Mexico,48.5
159,Universiti Putra Malaysia (UPM),Malaysia,48.4
160,Ecole Normale SupÈrieure de Lyon,France,48.3
160,Universiti Kebangsaan Malaysia (UKM),Malaysia,48.3
162,Hebrew University of Jerusalem,Israel,48.2
163,University of Bergen,Norway,48.1
163,University of Exeter,United Kingdom,48.1
165,Universitat de Barcelona (UB),Spain,47.9
165,Universiti Sains Malaysia (USM),Malaysia,47.9
167,Case Western Reserve University,United States,47.8
168,UniversitÈ Catholique de Louvain (UCL),Belgium,47.7
168,University of Florida,United States,47.7
170,Eberhard Karls Universit‰t T¸bingen,Germany,47.3
170,Universit‰t Freiburg,Germany,47.3
170,University of Rochester,United States,47.3
173,University of Bath,United Kingdom,47
174,National Tsing Hua University,Taiwan,46.8
174,Queen's University of Belfast,United Kingdom,46.8
174,University of Waterloo,Canada,46.8
177,University of Otago,New Zealand,46.7
178,Scuola Superiore Sant'Anna Pisa,Italy,46.6
178,Universit‡ di Bologna (UNIBO),Italy,46.6
180,Technische Universit‰t Dresden,Germany,46.4
181,University of Liverpool,United Kingdom,46.3
182,Indian Institute of Technology Delhi (IITD),India,46.2
183,Erasmus University Rotterdam,Netherlands,46.1
184,Indian Institute of Science (IISc) Bangalore,India,45.9
185,University College Dublin (UCD),Ireland,45.6
186,King Abdul Aziz University (KAU),Saudi Arabia,45.2
186,University of Twente,Netherlands,45.2
188,Universitat AutÛnoma de Barcelona,Spain,45.1
189,Texas A&M University,United States,45
189,Universidad de Chile,Chile,45
191,Stockholm University,Sweden,44.8
192,Technische Universit‰t Wien,Austria,44.7
192,Universidad AutÛnoma de Madrid,Spain,44.7
194,University of Aberdeen,United Kingdom,44.6
195,Vrije Universiteit Brussel (VUB),Belgium,44.5
196,Georg-August-Universit‰t Gˆttingen,Germany,44.2
197,University of Cape Town,South Africa,44.1
197,University of Virginia,United States,44.1
199,Keio University,Japan,44
199,King Fahd University of Petroleum & Minerals (KFUPM),Saudi Arabia,44
